"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifica que la función dataframe_to_table convierte correctamente un DataFrame en una tabla de ReportLab, incluyendo encabezados y datos.","1","Test DataFrame to Table Conversion","tests","Wed Apr 16 00:56:09 COT 2025","passed","Wed Apr 16 00:56:09 COT 2025","","test_04_report","",""
"Verifica la integración completa del sistema, incluyendo: 1. Autenticación con credenciales válidas usando StubDatabase, 2. Obtención de datos simulados mediante una respuesta HTTP mock, 3. Análisis de datos con el módulo Analytics, 4. Generación de un reporte PDF y verificación de su existencia.","2872","Test Full System Integration","tests","Wed Apr 16 00:56:10 COT 2025","passed","Wed Apr 16 00:56:13 COT 2025","","test_pruebasIntegrales","",""
"Verifica que el método login devuelve True y establece una sesión activa cuando se proporcionan credenciales válidas.","0","Test Successful Login","tests","Wed Apr 16 00:56:07 COT 2025","passed","Wed Apr 16 00:56:07 COT 2025","","test_01_authentication","",""
"Verifica que la función create_box_plots genera correctamente boxplots para duración y distancia en formato PNG y los retorna como un buffer BytesIO.","84","Test Box Plots Creation","tests","Wed Apr 16 00:56:09 COT 2025","passed","Wed Apr 16 00:56:09 COT 2025","","test_04_report","",""
"Verifica que la función create_bar_chart genera correctamente un gráfico de barras en formato PNG y lo retorna como un buffer BytesIO.","77","Test Bar Chart Creation","tests","Wed Apr 16 00:56:09 COT 2025","passed","Wed Apr 16 00:56:09 COT 2025","","test_04_report","",""
"Verifica que el método AnalizeData procesa correctamente un conjunto de datos válido, generando estadísticas, rutas populares, distancias y duraciones.","10","Test Data Analysis with Normal Case","tests","Wed Apr 16 00:56:08 COT 2025","passed","Wed Apr 16 00:56:08 COT 2025","","test_03_analytics","",""
"Verifica que la función create_map_plot genera correctamente un mapa con las ubicaciones de las estaciones en formato PNG y lo retorna como un buffer BytesIO.","105","Test Map Plot Creation","tests","Wed Apr 16 00:56:09 COT 2025","passed","Wed Apr 16 00:56:09 COT 2025","","test_04_report","",""
"Verifica que el método AnalizeData lanza FileNotFoundError cuando el archivo de datos no existe. El módulo debería mejorar el manejo de este error.","0","Test Data Analysis with File Not Found","tests","Wed Apr 16 00:56:08 COT 2025","passed","Wed Apr 16 00:56:08 COT 2025","","test_03_analytics","",""
"Verifica que el método AnalizeData elimina correctamente las rutas donde la estación de inicio y fin son iguales, asegurando datos válidos.","12","Test Data Analysis with Same Stations","tests","Wed Apr 16 00:56:09 COT 2025","passed","Wed Apr 16 00:56:09 COT 2025","","test_03_analytics","",""
"Verifica la integración del proceso de autenticación desde main.py, incluyendo: 1. Simulación de entradas de usuario para login con StubDatabase, 2. Ejecución de main.py hasta la autenticación, 3. Verificación del mensaje de bienvenida con el nombre de usuario.","1917","Test Main Authentication Integration","tests","Wed Apr 16 00:56:13 COT 2025","passed","Wed Apr 16 00:56:15 COT 2025","","test_pruebasIntegrales","",""
